[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[27314]472  'I dunno, Voldemort used an Invisibility Cloak or something
[27315]5867  ' Harry shouted
[27316]14128    Anyway, the Department of Mysteries has always been completely empty whenever I've been-'You've never been there, Harry,' said Hermione quietly
[27317]5642    You've dreamed about the place, that's all
[27318]65   'They're not normal dreams
[27319]6811  ' Harry shouted in her face, standing up and taking a step closer to her in turn
[27320]187    He wanted to shake her
[27321]8378    How d'you explain Ron's dad then, what was all that about, how come I knew what had happened to him
[27322]14970  'He's got a point,' said Ron quietly, looking at Hermione
[27323]1623   But this is just -just so unlikely
[27324]6734  ' said Hermione desperately
[27325]12916    Harry, how on earth could Voldemort have got hold of Sirius when he's been in Grimmauld Place all the time
[27326]9697  'Sirius might've cracked and just wanted some fresh air,' said Ron, sounding worried
[27327]8191    He's been desperate to get out of that house for ages-'But why,' Hermione persisted, why on earth would Voldemort want to use Sirius to get the weapon, or whatever the thing is
[27328]77  'I dunno, there could be loads of reasons
[27329]5811  ' Harry yelled at her
[27330]14662    Maybe Sirius is just someone Voldemort doesn't care about seeing hurt-'You know what, I've just thought of something,' said Ron in a hushed voice
[27331]8082    Sirius's brother was a Death Eater, wasn't he
[27332]1113   Maybe he told Sirius the secret of how to get the weapon
[27333]11844  'Yeah-and that's why Dumbledore's been so keen to keep Sirius locked up all the time
[27334]10818  ' said Harry
[27335]17356   Look, I'm sorry,' cried Hermione, but neither of you is making sense, and we've got no proof for any of this, no proof Voldemort and Sirius are even there-'Hermione, Harry's seen them
[27336]7096  ' said Ron, rounding on her
[27337]8293   OK,' she said, looking frightened yet determined, I've just got to say this-'What
[27338]0  'You 
[27339]0   
[27340]0   
[27341]8143    this isn't a criticism, Harry
[27342]0   But you do 
[27343]0   
[27344]0   
[27345]70    sort of 
[27346]0   
[27347]0   
[27348]5816    I mean-don't you think you've got a bit of a-a-saving-people thing
[27349]5086  ' she said
[27350]28   He glared at her
[27351]5578   And what's that supposed to mean, a saving-people thing"
[27352]0  'Well 
[27353]0   
[27354]0   
[27355]0    you 
[27356]0   
[27357]0   
[27358]683   ' she looked more apprehensive than ever
[27359]231    I mean 
[27360]0   
[27361]0   
[27362]186    last year, for instance 
[27363]0   
[27364]0   
[27365]28    in the lake 
[27366]0   
[27367]0   
[27368]6    during the Tournament 
[27369]0   
[27370]0   
[27371]2328    you shouldn't have 
[27372]0   
[27373]0   
[27374]3516    I mean, you didn't need to save that little Delacour girl 
[27375]0   
[27376]0   
[27377]884    you got a bit 
[27378]0   
[27379]0   
[27380]366    carried away 
[27381]0   
[27382]0   
[27383]10716   'A wave of hot, prickly anger swept through Harry's body; now could she remind him of that blunder now
[27384]39455  I mean, it was really great of you and everything,' said Hermione quickly, looking positively petrified at the look on Harry's face, everyone thought it was a wonderful thing to do-'That's funny,' said Harry through gritted teeth, because I definitely remember Ron saying I'd wasted time acting the hero 
[27385]0   
[27386]0   
[27387]562    is that what you think this is
[27388]423   You reckon I want to act the hero again
[27389]0  'No, no, no
[27390]7312  ' said Hermione, looking aghast
[27391]4981    That's not what I mean at all
[27392]2222  'Well, spit out what you've got to say, because we're wasting time here
[27393]5867  ' Harry shouted
[27394]6974   I'm trying to say -Voldemort knows you, Harry
[27395]12060   He took Ginny down into the Chamber of Secrets to lure you there, it's the kind of thing he does, he knows you're the-the sort of person who'd go to Sirius's aid
[27396]5860   What if he's just trying to get you into the Department of Myst-
[27397]9935  'Hermione, it doesn't matter if he's done it to get me there or not-they've taken McGonagall to St
[27398]11872    Mungo's, there isn't anyone from the Order left at Hogwarts who we can tell, and if we don't go, Sirius is dead
[27399]6652  ' But Harry-what if your dream was-was just that, a dream
[27400]6076  'Harry let out a roar of frustration
[27401]2351    Hermione actually stepped back from him, looking alarmed
[27402]2941   You don't get it
[27403]7675  ' Harry shouted at her, I'm not having nightmares, I'm not just dreaming
[27404]3577   What d'you think all the Occlumency was for, why d'you think Dumbledore wanted me prevented from seeing these things
[27405]3210   Because they're REAL, Hermione-Sirius is trapped, I've seen him
[27406]10222    Voldemort's got him, and no one else knows, and that means we're the only ones who can save him, and if you don't want to do it, fine, but I'm going, understand
[27407]10618   And if I remember rightly, you didn't have a problem with my saving-people thing when it was you I was saving from the dementors, or-he rounded on Ron-when it was your sister I was saving from the Basilisk-'I never said I had a problem
[27408]7094  ' said Ron heatedly
[27409]28893   But Harry, you've just said it,' said Hermione fiercely, Dumbledore wanted you to learn to shut these things out of your mind, if you'd done Occlumency properly you'd never have seen this-'IF YOU THINK I'M JUST GOING TO ACT LIKE I HAVEN'T SEEN-'Sirius told you there was nothing more important than you learning to close your mind
[27410]3411  'WELL, I EXPECT HE'D SAY SOMETHING DIFFERENT IF HE KNEW WHAT I'D JUST-' The classroom door opened
[27411]9362    Harry, Ron and Hermione whipped around
[27412]2227    Ginny walked in, looking curious, closely followed by Luna, who as usual looked as though she had drifted in accidentally
[27413]5465   Hi,' said Ginny uncertainly
[27414]11047    We recognised Harry's voice
[27415]16    What are you yelling about
[27416]10977  'Never you mind,' said Harry roughly
[27417]503   Ginny raised her eyebrows
[27418]10257   There's no need to take that tone with me,' she said coolly, I was only wondering whether I could help
[27419]13157   'Well, you can't,' said Harry shortly
[27420]6024   You're being rather rude, you know,' said Luna serenely
[27421]6415   Harry swore and turned away
[27422]558    The very last thing he wanted now was a conversation with Luna Lovegood
[27423]6881   Wait,' said Hermione suddenly
[27424]77    Wait 
[27425]0   
[27426]0   
[27427]5877    Harry, they can help
[27428]8410   ' Harry and Ron looked at her
[27429]12331   Listen,' she said urgently, Harry, we need to establish whether Sirius really has left Headquarters
[27430]7518   'I've told you, I saw-'Harry, I'm begging you, please
[27431]6734  ' said Hermione desperately
[27432]9072    Please let's just check that Sirius isn't at home before we go charging off to London
[27433]7431    If we find out he's not there, then I swear I won't try to stop you
[27434]2330    I'll come, I'll d-do whatever it takes to try and save him
[27435]657   'Sirius is being tortured NOW
[27436]5867  ' shouted Harry
[27437]3696    We haven't got time to waste
[27438]13525   'But if this is a trick of Voldemort's, Harry, we've got to check, we've got to
[27439]0   'How
[27440]5761  ' Harry demanded
[27441]524    How're we going to check
[27442]13826  'We'll have to use Umbridge's fire and see if we can contact him, said Hermione, who looked positively terrified at the thought
[27443]7584    We'll draw Umbridge away again, but we'll need lookouts, and that's where we can use Ginny and Luna
[27444]13295   'Though clearly struggling to understand what was going on, Ginny said immediately, Yeah, we'll do it,' and Luna said, When you say Sirius", are you talking about Stubby Boardman
